"","species","SVL","abu_cat","lat.range","maxGCD_extant","mean_lat","min_lat","Red.List.status","Order","Family","Genus"
"191","Arthroleptis zimmeri",18.75,NA,0.0300000000000002,9.50453877449036e-05,5.55714285714286,5.54,"DD","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"192","Ascaphus montanus",38.25,3,6.44,735.828113866646,45.1291562238931,42.77,"LC","ANURA","ASCAPHIDAE","Ascaphus"
"193","Ascaphus truei",38.25,3,16.34,1856.51815621889,48.5024199134199,38.89,"LC","ANURA","ASCAPHIDAE","Ascaphus"
"194","Asterophrys turpicola",65,3,7.28,1542.26285311487,-3.43212168486739,-8.09,"LC","ANURA","MICROHYLIDAE","Asterophrys"
"195","Astylosternus batesi",70,4,10.5,1135.22973519271,-0.409647749510763,-5.15,"LC","ANURA","ARTHROLEPTIDAE","Astylosternus"
"196","Astylosternus diadematus",50,3,1.72,314.264747851799,4.85428571428571,4.02,"VU","ANURA","ARTHROLEPTIDAE","Astylosternus"
"197","Atelognathus patagonicus",50,3,0.219999999999999,86.5144623082454,-39.1285714285714,-39.24,"EN","ANURA","BATRACHYLIDAE","Atelognathus"
"198","Atelognathus praebasalticus",31,1,0.869999999999997,140.610134671625,-39.4168181818182,-39.89,"EN","ANURA","BATRACHYLIDAE","Atelognathus"
"199","Atelopus angelito",45.935,NA,0.0899999999999999,0,1.85388888888889,1.81,"CR","ANURA","BUFONIDAE","Atelopus"
"200","Atelopus arsyecue",52.85,NA,0.0899999999999999,0,10.7218181818182,10.68,"CR","ANURA","BUFONIDAE","Atelopus"
"201","Atelopus arthuri",46.9,1,0.21,0,-1.815,-1.92,"CR","ANURA","BUFONIDAE","Atelopus"
