species,genus,family,order,occurrence_no,occurrence.reference_no
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,479449,5929
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,479615,5929
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,480287,5929
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,459546,5929
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,459518,5929
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,479475,5929
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,220123,5929
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,479703,5929
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,479501,5929
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,362384,9017
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,459573,5929
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,459333,5929
Eocyclotosaurus wellesi,Eocyclotosaurus,Capitosauroidea,Temnospondyli,855795,32378
Horezmia gracile,Horezmia,Scapherpetontidae,Urodela,984091,19868
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,520524,14358
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,649697,23573
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,1147404,1535
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,289588,7598
Prodesmodon copei,Prodesmodon,Batrachosauroididae,Urodela,1147405,1535
Prosiren elinorae,Prosiren,Prosirenidae,Urodela,289634,7600
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,479732,15455
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,463035,12049
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,1147403,1535
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,521027,1921
Scaphiopus wardorum,Scaphiopus,Pelobatidae,Salientia,289375,687
Bolterpeton carrolli,Bolterpeton,Gymnarthridae,Lepospondyli,1019911,40439
Cacops morrisi,Cacops,Dissorophidae,Temnospondyli,629466,34955
Cardiocephalus sternbergi,Cardiocephalus,Gymnarthridae,Lepospondyli,296032,28751
Cricotillus brachydens,NA,NA,NA,739043,26635
Fayella chickashaensis,Fayella,NA,Temnospondyli,287732,4327
Ferganobatrachus riabinini,Ferganobatrachus,NA,Temnospondyli,391662,10054
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,691906,727
Isodectes punctulatus,Isodectes,Saurerpetontidae,Temnospondyli,1252544,28740
Kababisha humarensis,Kababisha,Sirenidae,Urodela,403049,38087
Mastodonsaurus giganteus,Mastodonsaurus,NA,Temnospondyli,929802,33823
Micropholis stowi,Micropholis,Amphibamidae,Temnospondyli,1134120,46658
Pasawioops mayi,Pasawioops,Amphibamidae,Temnospondyli,825243,30585
Prodiscoglossus vertaizoni,Prodiscoglossus,Discoglossidae,Salientia,831819,30969
Rewana quadricuneata,Rewana,Derwentiidae,Temnospondyli,1087061,43617
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,483643,13103
Sclerothorax hypselonotus,Sclerothorax,Sclerothoracidae,Temnospondyli,1076089,43178
Trematosuchus sobeyi,Trematosuchus,Trematosauridae,Temnospondyli,1134137,46664
Prodesmodon copei,Prodesmodon,Batrachosauroididae,Urodela,468934,3008
Saevesoederberghia egredia,Saevesoederberghia,Discoglossidae,Salientia,985895,18862
Cyclotosaurus leptognathus,Cyclotosaurus,Capitosauroidea,Temnospondyli,558338,9050
Acheloma dunni,Acheloma,Trematopidae,Temnospondyli,930782,35587
Prodesmodon copei,Prodesmodon,Batrachosauroididae,Urodela,488195,803
Kestrosaurus kitchingi,Kestrosaurus,Capitosauridae,Temnospondyli,1142840,47080
Aralobatrachus robustus,Aralobatrachus,Discoglossidae,Salientia,985889,18862
Chomatobatrachus halei,Chomatobatrachus,Lydekkerinidae,Temnospondyli,1087673,43692
Koolasuchus cleelandi,Koolasuchus,Chigutisauridae,Temnospondyli,1091320,43863
Prodesmodon copei,Prodesmodon,Batrachosauroididae,Urodela,487850,803
Phlegethontia longissima,Phlegethontia,Phlegethontiidae,Lepospondyli,832390,31059
Diplocaulus magnicornis,Diplocaulus,Keraterpetontidae,Lepospondyli,296030,17702
Aygroua anoualensis,Aygroua,NA,Salientia,981556,37819
Salamandra sansaniensis,Salamandra,Salamandridae,Urodela,451681,11647
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,488083,13103
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,464127,803
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,362344,9017
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,362170,9017
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,362783,9017
Diplocaulus magnicornis,Diplocaulus,Keraterpetontidae,Lepospondyli,799788,29284
Diplocaulus minimus,Diplocaulus,Keraterpetontidae,Lepospondyli,814096,30045
Oligosemia spinosa,Oligosemia,Salamandridae,Urodela,832076,11708
Piceoerpeton willwoodense,Piceoerpeton,Scapherpetontidae,Urodela,787820,28586
Rubricacaecilia monbaroni,Rubricacaecilia,NA,Parabatrachia,516608,38086
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,291027,717
Albanerpeton inexpectatum,Albanerpeton,Albanerpetontidae,Allocaudata,1144038,52039
Albanerpeton nexuosus,Albanerpeton,Albanerpetontidae,Allocaudata,1070834,42675
Kiyatriton leshchinskiyi,Kiyatriton,NA,Urodela,520780,14369
Wesserpeton evansae,Wesserpeton,Albanerpetontidae,Allocaudata,1071681,42838
Apachesaurus gregorii,Apachesaurus,Metoposauridae,Temnospondyli,778945,14122
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,291024,717
Albanerpeton inexpectatum,Albanerpeton,Albanerpetontidae,Allocaudata,1091851,43888
Albanerpeton arthridion,Albanerpeton,Albanerpetontidae,Allocaudata,721129,39274
Albanerpeton nexuosus,Albanerpeton,Albanerpetontidae,Allocaudata,1070829,42675
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,488164,803
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,1071592,1535
Cardiocephalus peabodyi,Cardiocephalus,Gymnarthridae,Lepospondyli,629472,28692
Ambystoma minshalli,Ambystoma,Ambystomatidae,Urodela,289373,705
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,458272,11749
Diplocaulus brevirostris,Diplocaulus,Keraterpetontidae,Lepospondyli,799787,29284
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,464354,1129
Nesovtriton mynbulakensis,Nesovtriton,NA,Urodela,841558,31565
Trimerorhachis insignis,Trimerorhachis,NA,Temnospondyli,787561,28557
Albanerpeton nexuosus,Albanerpeton,Albanerpetontidae,Allocaudata,1070825,42765
Albanerpeton arthridion,Albanerpeton,Albanerpetontidae,Allocaudata,721130,26201
Scaphiopus wardorum,Scaphiopus,Pelobatidae,Salientia,286989,7565
Pachycentrata taqueti,Pachycentrata,NA,Salientia,487238,31023
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,487827,803
Sunnybatrachus purbeckensis,Sunnybatrachus,NA,Salientia,301086,30987
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,464129,803
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,480364,13103
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,461896,11964
Euryodus primus,Euryodus,NA,Lepospondyli,795226,28484
Micropholis stowi,Micropholis,Amphibamidae,Temnospondyli,1134117,46658
Kababisha sudanensis,Kababisha,Sirenidae,Urodela,403154,38087
Elkobatrachus brocki,Elkobatrachus,Pelobatidae,Salientia,1081417,42424
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,458056,11749
Eryops megacephalus,Eryops,Eryopidae,Temnospondyli,787580,28557
Palaeoproteus gallicus,Palaeoproteus,Batrachosauroididae,Urodela,986697,38121
Hungarobatrachus szukacsi,Hungarobatrachus,NA,Salientia,486501,38712
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,464353,1129
Marmorerpeton kermacki,Marmorerpeton,NA,Urodela,405982,30993
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,464128,803
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,362032,9017
Peronedon primus,Peronedon,Keraterpetontidae,Lepospondyli,739844,26635
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,487905,13103
Kokartus honorarius,Kokartus,Karauridae,Urodela,745361,26886
Microbrachis pelikani,Microbrachis,NA,Lepospondyli,789756,28832
Chomatobatrachus halei,Chomatobatrachus,Lydekkerinidae,Temnospondyli,1087660,43692
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,838888,14122
Palaeobatrachus robustus,Palaeobatrachus,Palaeobatrachidae,Salientia,1088285,43730
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,488081,13103
Hapsidopareion lepton,Hapsidopareion,Hapsidopareiontidae,Lepospondyli,631443,19411
Metoposaurus algarvensis,Metoposaurus,Metoposauridae,Temnospondyli,773340,54714
Prodesmodon copei,Prodesmodon,Batrachosauroididae,Urodela,464158,803
Banksiops townrowi,Banksiops,Brachyopidae,Temnospondyli,1087679,43692
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,667875,24339
Callistomordax kugleri,Callistomordax,NA,Temnospondyli,906409,34642
Czatkobatrachus polonicus,Czatkobatrachus,NA,Salientia,401594,10335
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,487852,803
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,149311,4381
Eryosuchus tverdochlebovi,Eryosuchus,Capitosauroidea,Temnospondyli,877600,28828
Wesserpeton evansae,Wesserpeton,Albanerpetontidae,Allocaudata,1071682,42838
Goniorhynchus stovalli,Goniorhynchus,Gymnarthridae,Lepospondyli,739842,26635
Trimerorhachis rogersi,Trimerorhachis,NA,Temnospondyli,786933,28508
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,362031,9017
Lysorophus tricarinatus,Lysorophus,Lysorophidae,Lepospondyli,739843,26635
Tersomius mosesi,Tersomius,Amphibamidae,Temnospondyli,739841,26635
Albanerpeton nexuosus,Albanerpeton,Albanerpetontidae,Allocaudata,1146991,42675
Bothriceps australis,Bothriceps,Brachyopidae,Temnospondyli,1087685,43698
Albanerpeton arthridion,Albanerpeton,Albanerpetontidae,Allocaudata,520894,1219
Cyclotosaurus robustus,Cyclotosaurus,Capitosauroidea,Temnospondyli,930391,28828
Oumtkoutia anae,Oumtkoutia,Pipidae,Salientia,970962,29589
Spea neuter,Spea,Pelobatidae,Salientia,1081422,43427
Balanerpeton woodi,Balanerpeton,NA,Temnospondyli,220215,42475
Eodiscoglossus oxoniensis,Eodiscoglossus,Discoglossidae,Salientia,405980,10560
Celtedens megacephalus,Celtedens,Albanerpetontidae,Allocaudata,632110,47097
Saltenia ibanezi,Saltenia,Pipidae,Salientia,1072618,42876
Liaoxitriton zhongjiani,Liaoxitriton,NA,Urodela,831964,30989
Albanerpeton gracilis,Albanerpeton,Albanerpetontidae,Allocaudata,461898,42675
Anoualerpeton priscus,Anoualerpeton,Albanerpetontidae,Allocaudata,405981,30986
Apricosiren ensomi,Apricosiren,NA,Urodela,301084,30987
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,149313,4381
Laccotriton subsolanus,Laccotriton,NA,Urodela,831986,37812
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,149312,4381
Pelobates fahlbuschi,Pelobates,Pelobatidae,Salientia,1091857,43888
Vulcanobatrachus mandelai,Vulcanobatrachus,NA,Salientia,537761,15044
Benthosuchus sushkini,Benthosuchus,NA,Temnospondyli,840357,28844
Benthosuchus uralensis,Benthosuchus,NA,Temnospondyli,846842,28844
Capitosaurus arenaceus,Capitosaurus,Mastodonsauridae,Temnospondyli,882302,33819
Capitosaurus polaris,Capitosaurus,Mastodonsauridae,Temnospondyli,1131960,46568
Albanerpeton galaktion,Albanerpeton,Albanerpetontidae,Allocaudata,1070839,42675
Albanerpeton inexpectatum,Albanerpeton,Albanerpetontidae,Allocaudata,1217122,52039
Anconastes vesperus,Anconastes,Trematopidae,Temnospondyli,146665,4336
Apachesaurus gregorii,Apachesaurus,Metoposauridae,Temnospondyli,842143,14122
Eocyclotosaurus wellesi,Eocyclotosaurus,Capitosauroidea,Temnospondyli,855740,32381
Estesina elegans,Estesina,Discoglossidae,Salientia,985909,18862
Indolyrocephalus panchetensis,Indolyrocephalus,Trematosauria,Temnospondyli,1307356,57226
Leiopelma acricarina,Leiopelma,Leiopelmatidae,Salientia,1192636,49851
Lyrocephaliscus euri,Lyrocephaliscus,Lyrocephaliscidae,Temnospondyli,1131973,46574
Nigerpeton ricqlesi,Nigerpeton,Cochleosauridae,Temnospondyli,789101,28482
Pachygonia incurvata,Pachygonia,Stereospondylomorpha,Temnospondyli,1088559,17140
Rewana myriadens,Rewana,Derwentiidae,Temnospondyli,1087070,43619
Rhinesuchus wolgodvinensis,Rhinesuchus,Rhinesuchidae,Temnospondyli,1221320,52186
Vanastega plurimidens,Vanastega,Brachyopidae,Temnospondyli,868562,32694
Watsonisuchus gunganj,Watsonisuchus,NA,Temnospondyli,1087055,43614
Albanerpeton gracilis,Albanerpeton,Albanerpetontidae,Allocaudata,1069421,42675
Calmasuchus acri,Calmasuchus,NA,Temnospondyli,908229,34744
Cryobatrachus kitchingi,Cryobatrachus,NA,Temnospondyli,1087032,43611
Dissorophus multicinctus,Dissorophus,Dissorophidae,Temnospondyli,296025,54069
Ferganobatrachus riabinini,Ferganobatrachus,NA,Temnospondyli,587948,17892
Kizylkuma antiqua,Kizylkuma,Discoglossidae,Salientia,985885,18862
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,229336,14122
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,778963,37120
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,406870,14122
Apachesaurus gregorii,Apachesaurus,Metoposauridae,Temnospondyli,782139,14122
Aphaneramma rostratum,Aphaneramma,Trematosauridae,Temnospondyli,1131971,46574
Ophiderpeton kirktonense,Ophiderpeton,Ophiderpetontidae,Lepospondyli,1064711,42474
Trimerorhachis insignis,Trimerorhachis,NA,Temnospondyli,296057,7693
Aphaneramma rostratum,Aphaneramma,Trematosauridae,Temnospondyli,1131904,46568
Eodiscoglossus santonjae,Eodiscoglossus,Discoglossidae,Salientia,1280846,19446
Metoposaurus diagnosticus,Metoposaurus,Metoposauridae,Temnospondyli,930385,43878
Nanolania anatopretia,Nanolania,Rhytidosteidae,Temnospondyli,1087080,43624
Deltasaurus kimberleyensis,Deltasaurus,Rhytidosteidae,Temnospondyli,1087519,43676
Diplocaulus magnicornis,Diplocaulus,Keraterpetontidae,Lepospondyli,296088,9228
Gobiops desertus,Gobiops,Brachyopidae,Temnospondyli,474466,43872
Phlegethontia longissima,Phlegethontia,Phlegethontiidae,Lepospondyli,789747,28829
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,464777,11964
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,461822,11964
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,464811,11964
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,462889,11964
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,464621,11964
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,462921,11964
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,462920,11964
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,461823,11964
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,464738,11964
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,461931,11964
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,461759,11964
Albanerpeton inexpectatum,Albanerpeton,Albanerpetontidae,Allocaudata,1148300,47304
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,463939,11964
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,461930,11964
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,461897,11964
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,464810,11964
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,462888,11964
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,464620,11964
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,463938,11964
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,463867,11964
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,464776,11964
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,461860,11964
Parotosuchus speleus,Parotosuchus,NA,Temnospondyli,401598,38008
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,464691,11964
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,464737,11964
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,463858,11964
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,463901,11964
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,464692,11964
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,461856,11964
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,463801,11964
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,463800,11964
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,461715,11964
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,461712,11964
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,464658,11964
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,464659,11964
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,463900,11964
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,462958,11964
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,462959,11964
Acanthostomatops vorax,Acanthostomatops,Zatracheidae,Temnospondyli,517732,14125
Ambystoma minshalli,Ambystoma,Ambystomatidae,Urodela,288058,7574
Ambystoma minshalli,Ambystoma,Ambystomatidae,Urodela,287339,7565
Amphibiopodiscus saltator,Amphibiopodiscus,NA,NA,780899,28154
Angusaurus tsylmensis,Angusaurus,Benthosuchidae,Temnospondyli,411695,10285
Anoualerpeton unicus,Anoualerpeton,Albanerpetontidae,Allocaudata,463336,30986
Apachesaurus gregorii,Apachesaurus,Metoposauridae,Temnospondyli,149923,29602
Apachesaurus gregorii,Apachesaurus,Metoposauridae,Temnospondyli,572544,14122
Apachesaurus gregorii,Apachesaurus,Metoposauridae,Temnospondyli,842080,14122
Apateon gracilis,Apateon,Branchiosauridae,Temnospondyli,517730,14125
Aphaneramma rostratum,Aphaneramma,Trematosauridae,Temnospondyli,1131900,46568
Aphaneramma rostratum,Aphaneramma,Trematosauridae,Temnospondyli,1131902,46568
Aphaneramma rostratum,Aphaneramma,Trematosauridae,Temnospondyli,1131899,46568
Baphetes orientalis,NA,NA,NA,1311120,57720
Batrachopodiscus curvus,Batrachopodiscus,NA,NA,780872,28154
Batrachopodiscus quthingensis,Batrachopodiscus,NA,NA,780866,28154
Batrachopodiscus tsanatalani,Batrachopodiscus,NA,NA,780873,28154
Benthosuchus korobkovi,Benthosuchus,NA,Temnospondyli,1113545,45815
Branchierpeton amblystomum,Branchierpeton,Micromelerpetontidae,Temnospondyli,517731,14125
Branchiosaurus umbrosus,Branchiosaurus,Branchiosauridae,Temnospondyli,559541,15696
Broiliellus novomexicanus,Broiliellus,Dissorophidae,Temnospondyli,788204,28637
Broiliellus peltatus,Broiliellus,Dissorophidae,Temnospondyli,296084,7693
Bufo kuhrei,Bufo,Bufonidae,Salientia,286993,706
Bufo linquensis,Bufo,Bufonidae,Salientia,540502,15140
Chelomophrynus bayi,Chelomophrynus,Rhinophrynidae,Salientia,699479,5676
Chunerpeton tianyiensis,Chunerpeton,Cryptobranchidae,Urodela,1195873,50313
Cochleosaurus florensis,Cochleosaurus,Cochleosauridae,Temnospondyli,1314660,58037
Conjunctio multidens,Conjunctio,Dissorophidae,Temnospondyli,1301297,56628
Cratia gracilis,Cratia,NA,Salientia,832084,31011
Crossotelos annulatus,Crossotelos,Urocordylidae,Lepospondyli,787461,28557
Ctenerpeton primum,Ctenerpeton,Urocordylidae,Lepospondyli,781267,28166
Cyclotosaurus intermedius,Cyclotosaurus,Capitosauroidea,Temnospondyli,584075,17717
Cyclotosaurus posthumus,Cyclotosaurus,Capitosauroidea,Temnospondyli,283818,30410
Cyclotosaurus robustus,Cyclotosaurus,Capitosauroidea,Temnospondyli,930392,28828
Diplocaulus magnicornis,Diplocaulus,Keraterpetontidae,Lepospondyli,296089,7693
Diplocaulus magnicornis,Diplocaulus,Keraterpetontidae,Lepospondyli,787460,28557
Doleserpeton annectens,Doleserpeton,Amphibamidae,Temnospondyli,629467,28686
Doragnathus woodi,Doragnathus,Trimerorhachidae,Temnospondyli,1306606,57195
Dvinosaurus egregius,Dvinosaurus,Dvinosauria,Temnospondyli,795306,29103
